monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,4,2290 sq.ft.,Not Furnished,"Security, Playground, Minimart",,,Selangor,Puncak Alam,2025-01-27 20:52,109765078,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,3,1045 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Puchong South,2025-01-27 20:46,109945214,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Security, Swimming Pool, Jogging Track, Barbeque area, Sauna, Parking, Gymnasium, Playground, Tennis Court",,"No.50, Persiaran Minden 1, Gelugor, Penang",Penang,Gelugor,2025-01-27 20:45,109945178,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,2,2,430 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Padang Jawa, Seksyen 16, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 20:44,107160895,3.060190227686609,101.49097136553645
"RM 2,800 per month","Apartment / Condominium, For rent",Service Residence,1,1,560 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Lift, Club house, Parking, Security",,"Jalan Tengku Azizah, Bukit Chagar, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 20:44,109945208,1.465682354314242,103.76396901385668
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Partially Furnished,"Multipurpose hall, Playground, Lift, Security, Swimming Pool, Barbeque area, Parking, Gymnasium",,"Jalan 2/12, Kampung Batu Muda, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-27 20:41,109945200,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1150 sq.ft.,Fully Furnished,"Parking, Security, Sauna, Swimming Pool, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Metro 2, Metro Prima Kepong,, Kepong, Kuala Lumpur",Kuala Lumpur,Kepong,2025-01-27 20:35,109945125,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Jogging Track, Lift","Cooking Allowed, Air-Cond","Lengkok Kelicap, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-27 20:32,109854756,5.3025084,100.2567686
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Jogging Track, Gymnasium, Parking, Security, Playground, Swimming Pool, Barbeque area, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Lengkok Kelicap, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-27 20:32,109881033,5.3025084,100.2567686
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Fully Furnished,"Parking, Tennis Court, Security, Swimming Pool, Lift, Gymnasium, Multipurpose hall, Playground",,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 20:32,109895642,1.4623036,103.7303918
